Цена,Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Ссылка
7600000.0,Вторичное,красногорская,6.0,Московская область,1.0,39.0,9.0,3.0,18.0,Косметический,https://www.cian.ru/sale/flat/291530862
7720000.0,Вторичное,опалиха,5.0,Московская область,1.0,46.8,7.7,1.0,10.0,Косметический,https://www.cian.ru/sale/flat/293507768
7700000.0,Вторичное,опалиха,7.0,Московская область,1.0,38.8,13.3,24.0,25.0,Косметический,https://www.cian.ru/sale/flat/293900099
7650000.0,Вторичное,опалиха,6.0,Московская область,1.0,38.1,10.0,20.0,26.0,Евроремонт,https://www.cian.ru/sale/flat/293812072
7750000.0,Вторичное,опалиха,7.0,Московская область,1.0,34.6,10.0,25.0,26.0,Евроремонт,https://www.cian.ru/sale/flat/293865328
7800000.0,Вторичное,павшино,4.0,Московская область,1.0,39.4,9.9,12.0,12.0,Косметический,https://www.cian.ru/sale/flat/291547250
7800000.0,Вторичное,красногорская,6.0,Московская область,1.0,40.4,11.1,1.0,17.0,Косметический,https://www.cian.ru/sale/flat/292487390
7800000.0,Вторичное,аникеевка,6.0,Московская область,1.0,39.5,12.0,20.0,26.0,Косметический,https://www.cian.ru/sale/flat/293270896
7750000.0,Вторичное,красногорская,11.0,Московская область,1.0,41.1,10.0,8.0,14.0,Косметический,https://www.cian.ru/sale/flat/282539043
7800000.0,Вторичное,опалиха,6.0,Московская область,1.0,37.0,9.1,24.0,26.0,Дизайнерский,https://www.cian.ru/sale/flat/293801291
7950000.0,Вторичное,павшино,11.0,Московская область,1.0,33.4,9.4,2.0,8.0,Евроремонт,https://www.cian.ru/sale/flat/293568704
7900000.0,Вторичное,павшино,7.0,Московская область,1.0,36.0,8.0,3.0,4.0,Евроремонт,https://www.cian.ru/sale/flat/293389657
7900000.0,Вторичное,опалиха,16.0,Московская область,1.0,34.1,9.0,1.0,8.0,Евроремонт,https://www.cian.ru/sale/flat/293657612
7900000.0,Вторичное,красногорская,11.0,Московская область,1.0,37.6,9.8,4.0,24.0,Косметический,https://www.cian.ru/sale/flat/286451283
7999000.0,Вторичное,опалиха,12.0,Московская область,1.0,33.7,9.4,10.0,12.0,Евроремонт,https://www.cian.ru/sale/flat/290327913
8000000.0,Вторичное,красногорская,20.0,Московская область,1.0,40.0,19.0,5.0,9.0,Евроремонт,https://www.cian.ru/sale/flat/277805459
8000000.0,Вторичное,опалиха,19.0,Московская область,1.0,33.0,9.4,6.0,10.0,Евроремонт,https://www.cian.ru/sale/flat/291246714
8000000.0,Вторичное,опалиха,14.0,Московская область,1.0,33.5,9.0,1.0,8.0,Евроремонт,https://www.cian.ru/sale/flat/290375015
8100000.0,Вторичное,опалиха,4.0,Московская область,1.0,38.4,9.8,2.0,8.0,Без ремонта,https://www.cian.ru/sale/flat/291311624
8199000.0,Вторичное,красногорская,8.0,Московская область,1.0,47.8,11.6,2.0,7.0,Дизайнерский,https://www.cian.ru/sale/flat/293919153
8200000.0,Вторичное,опалиха,6.0,Московская область,1.0,47.2,12.0,19.0,26.0,Косметический,https://www.cian.ru/sale/flat/292163562
8200000.0,Вторичное,митино,7.0,Московская область,1.0,35.3,8.3,5.0,17.0,Евроремонт,https://www.cian.ru/sale/flat/292740861
8150000.0,Вторичное,павшино,12.0,Московская область,1.0,30.0,9.1,10.0,21.0,Дизайнерский,https://www.cian.ru/sale/flat/292882955
8290000.0,Вторичное,опалиха,6.0,Московская область,1.0,38.6,9.3,18.0,25.0,Евроремонт,https://www.cian.ru/sale/flat/292853796
8290000.0,Вторичное,строгино,8.0,Московская область,1.0,34.1,11.2,21.0,16.0,Дизайнерский,https://www.cian.ru/sale/flat/293343911
8300000.0,Вторичное,опалиха,7.0,Московская область,1.0,34.2,12.0,4.0,26.0,Евроремонт,https://www.cian.ru/sale/flat/291747894
8490000.0,Вторичное,пенягино,14.0,Московская область,1.0,31.9,10.0,11.0,16.0,Евроремонт,https://www.cian.ru/sale/flat/287790389
