Минут до метро,Количество комнат,Площадь,Этаж,Количество этажей,Цена
10.0,3.0,105.6,11.0,53,43500000.0
15.0,3.0,100.0,6.0,7,120000000.0
5.0,3.0,111.0,6.0,8,144170000.0
7.0,3.0,113.9,6.0,12,148070000.0
6.0,3.0,188.5,3.0,4,175000000.0
14.0,3.0,90.0,3.0,9,27300000.0
7.0,3.0,90.8,2.0,30,33800000.0
17.0,3.0,81.6,13.0,28,45000000.0
8.0,3.0,126.0,3.0,29,59850000.0
10.0,3.0,94.1,4.0,5,41000000.0
10.0,3.0,118.6,9.0,48,43000000.0
7.0,3.0,93.8,4.0,14,53000000.0
16.0,3.0,91.0,13.0,41,55000000.0
6.0,3.0,103.0,2.0,11,64000000.0
12.0,3.0,91.0,8.0,41,72000000.0
7.0,3.0,105.0,3.0,13,75000000.0
10.0,3.0,130.0,4.0,13,99000000.0
15.0,3.0,135.0,2.0,11,124000000.0
5.0,3.0,85.5,36.0,51,48990000.0
12.0,3.0,126.3,3.0,18,75000000.0
11.0,3.0,95.0,7.0,14,145000000.0
7.0,3.0,152.5,3.0,6,205875000.0
11.0,3.0,127.4,6.0,6,56000000.0
25.0,3.0,75.3,17.0,21,65000000.0
2.0,3.0,187.0,39.0,75,115000000.0
6.0,3.0,163.7,4.0,6,224900000.0
5.0,3.0,80.0,22.0,30,23800000.0
7.0,3.0,92.9,5.0,17,36000000.0
4.0,3.0,190.0,39.0,73,113500000.0
15.0,3.0,118.7,30.0,66,142440000.0
5.0,3.0,72.2,4.0,30,34000000.0
3.0,3.0,98.5,3.0,4,35490000.0
10.0,3.0,133.0,15.0,52,52000000.0
9.0,3.0,99.0,10.0,25,56500000.0
12.0,3.0,76.0,15.0,51,59000000.0
10.0,3.0,184.6,2.0,8,182000000.0
7.0,3.0,75.0,17.0,28,46900000.0
13.0,3.0,143.3,39.0,58,48500000.0
18.0,3.0,98.2,18.0,19,51000000.0
3.0,3.0,90.0,32.0,78,60000000.0
2.0,3.0,192.0,41.0,75,97000000.0
9.0,3.0,237.2,14.0,14,224900000.0
16.0,3.0,54.0,3.0,4,11990000.0
13.0,3.0,62.0,4.0,17,12900000.0
8.0,3.0,72.0,6.0,8,15500000.0
4.0,3.0,62.0,1.0,6,24800000.0
5.0,3.0,62.7,2.0,5,27500000.0
22.0,3.0,93.5,11.0,29,31800000.0
4.0,3.0,98.0,33.0,78,64000000.0
23.0,3.0,104.0,14.0,26,74800000.0
2.0,3.0,192.0,37.0,75,105000000.0
5.0,3.0,71.2,2.0,14,44988700.0
19.0,3.0,84.0,12.0,19,64500000.0
7.0,3.0,127.6,6.0,21,128000000.0
6.0,3.0,94.0,2.0,7,153000000.0
11.0,3.0,57.4,1.0,39,26700000.0
17.0,3.0,81.25,6.0,18,39500000.0
10.0,3.0,77.2,5.0,12,41500000.0
6.0,3.0,70.0,15.0,15,42990000.0
15.0,3.0,91.5,6.0,21,45000000.0
19.0,3.0,99.0,2.0,19,57000000.0
11.0,3.0,90.0,7.0,21,64900000.0
7.0,3.0,100.0,39.0,53,78000000.0
22.0,3.0,105.5,4.0,8,190000000.0
11.0,3.0,142.8,6.0,8,250000000.0
8.0,3.0,63.0,1.0,9,12000000.0
14.0,3.0,60.6,2.0,9,14450000.0
4.0,3.0,60.0,9.0,9,14500000.0
4.0,3.0,84.0,11.0,22,24287000.0
6.0,3.0,80.0,19.0,24,26500000.0
17.0,3.0,77.2,11.0,22,33500000.0
7.0,3.0,82.0,3.0,5,36900000.0
5.0,3.0,78.2,2.0,7,41990000.0
11.0,3.0,107.3,22.0,29,45000000.0
12.0,3.0,85.8,28.0,42,45000000.0
7.0,3.0,91.0,7.0,8,47900000.0
12.0,3.0,89.0,30.0,37,49990000.0
12.0,3.0,88.6,34.0,42,50990000.0
5.0,3.0,121.0,6.0,12,76000000.0
10.0,3.0,163.5,9.0,57,82000000.0
15.0,3.0,148.7,4.0,20,147213000.0
4.0,3.0,105.4,4.0,8,190000000.0
5.0,3.0,60.0,9.0,9,12800000.0
5.0,3.0,60.0,4.0,17,17650000.0
15.0,3.0,55.0,7.0,8,24000050.0
10.0,3.0,68.5,7.0,52,30800000.0
4.0,3.0,85.0,29.0,29,32300000.0
18.0,3.0,57.0,20.0,29,34000000.0
11.0,3.0,117.9,20.0,20,39200000.0
7.0,3.0,88.0,8.0,18,39700000.0
1.0,3.0,90.0,8.0,13,41000000.0
22.0,3.0,103.8,2.0,21,44000000.0
26.0,3.0,79.0,15.0,20,45000000.0
14.0,3.0,123.8,1.0,16,46000000.0
15.0,3.0,66.3,13.0,37,49900000.0
4.0,3.0,110.0,6.0,8,55000000.0
7.0,3.0,90.0,14.0,25,58000000.0
13.0,3.0,112.0,17.0,25,64000000.0
7.0,3.0,102.9,3.0,9,67000000.0
3.0,3.0,100.9,16.0,22,70000000.0
6.0,3.0,160.0,3.0,10,69990000.0
9.0,3.0,102.0,7.0,9,69900000.0
5.0,3.0,120.9,6.0,12,76000000.0
11.0,3.0,141.5,2.0,8,93000000.0
11.0,3.0,100.0,7.0,18,96000000.0
7.0,3.0,126.6,6.0,27,99000000.0
4.0,3.0,189.0,41.0,73,115000000.0
7.0,3.0,135.0,4.0,8,129990000.0
15.0,3.0,100.0,18.0,21,139000000.0
5.0,3.0,114.0,2.0,6,160000000.0
3.0,3.0,135.0,4.0,12,165000000.0
5.0,3.0,160.0,47.0,54,194800000.0
3.0,3.0,67.6,5.0,12,27770000.0
22.0,3.0,60.1,8.0,30,30500000.0
19.0,3.0,65.0,15.0,16,33000000.0
5.0,3.0,94.1,20.0,23,33500000.0
2.0,3.0,130.2,6.0,17,47000000.0
11.0,3.0,109.0,12.0,18,59900000.0
9.0,3.0,113.1,3.0,21,64999999.0
2.0,3.0,106.4,5.0,6,99000000.0
3.0,3.0,146.0,4.0,9,115000000.0
25.0,3.0,100.0,18.0,21,139000000.0
10.0,3.0,125.3,6.0,14,155000000.0
14.0,3.0,85.0,8.0,8,33400000.0
2.0,3.0,61.0,17.0,39,35000000.0
2.0,3.0,108.0,12.0,53,50000000.0
9.0,3.0,212.4,5.0,17,84000000.0
6.0,3.0,94.1,2.0,8,153000000.0
7.0,4.0,244.1,21.0,23,86200000.0
13.0,4.0,115.0,3.0,17,73500000.0
5.0,4.0,155.0,6.0,7,146000000.0
3.0,4.0,153.0,6.0,7,146000000.0
10.0,4.0,94.5,20.0,58,37990000.0
6.0,4.0,200.0,4.0,6,145000000.0
15.0,4.0,143.0,13.0,20,159000000.0
6.0,4.0,233.2,6.0,8,350000000.0
4.0,4.0,137.0,4.0,5,169000000.0
10.0,4.0,187.0,7.0,11,180000000.0
11.0,4.0,108.6,2.0,9,125000000.0
4.0,4.0,137.6,4.0,5,169000000.0
6.0,4.0,249.0,2.0,6,350000000.0
10.0,4.0,108.6,38.0,58,59990000.0
6.0,4.0,135.6,11.0,21,71000000.0
9.0,4.0,405.0,20.0,21,289000000.0
14.0,4.0,115.6,3.0,14,61988000.0
10.0,4.0,108.2,11.0,58,43000000.0
10.0,4.0,127.5,20.0,58,52500000.0
20.0,4.0,92.8,8.0,14,69000000.0
1.0,4.0,201.0,14.0,23,95000000.0
13.0,4.0,109.0,2.0,9,125000000.0
15.0,4.0,170.0,2.0,5,170000000.0
6.0,4.0,113.0,4.0,44,42000000.0
7.0,4.0,316.0,6.0,6,270000000.0
13.0,4.0,89.0,8.0,44,59900000.0
4.0,4.0,95.0,5.0,6,68000000.0
11.0,4.0,216.0,4.0,6,350000000.0
10.0,4.0,167.8,20.0,21,190000000.0
19.0,4.0,97.9,6.0,12,40000000.0
4.0,4.0,84.8,2.0,8,67000000.0
17.0,4.0,135.7,2.0,41,80000000.0
15.0,4.0,138.3,24.0,41,83000000.0
15.0,4.0,112.8,10.0,41,110000000.0
16.0,4.0,225.0,5.0,20,120000000.0
15.0,4.0,135.3,37.0,41,125000000.0
4.0,4.0,170.0,5.0,6,155000000.0
8.0,4.0,240.0,14.0,14,221000000.0
2.0,4.0,270.0,9.0,11,249990000.0
10.0,4.0,108.0,11.0,54,43000000.0
16.0,4.0,203.4,10.0,17,130000000.0
6.0,4.0,179.2,2.0,6,155000000.0
8.0,4.0,140.0,5.0,15,156000000.0
7.0,4.0,186.8,7.0,11,180000000.0
9.0,4.0,169.0,6.0,6,92000000.0
12.0,4.0,136.5,23.0,41,120000000.0
6.0,4.0,179.2,2.0,12,155000000.0
7.0,4.0,187.0,7.0,11,180000000.0
13.0,4.0,180.0,5.0,7,340000000.0
15.0,4.0,135.6,23.0,37,120000000.0
6.0,4.0,121.0,4.0,7,130000000.0
1.0,4.0,129.4,17.0,18,99000000.0
10.0,4.0,106.1,48.0,58,40500000.0
17.0,4.0,145.0,36.0,48,79000000.0
6.0,4.0,297.0,3.0,3,50000000.0
10.0,4.0,145.8,36.0,47,79000000.0
19.0,4.0,186.4,11.0,44,80000000.0
5.0,4.0,133.5,10.0,21,132000000.0
10.0,4.0,171.0,4.0,6,185000000.0
10.0,4.0,134.5,15.0,52,61000000.0
8.0,4.0,174.0,12.0,13,149600000.0
9.0,4.0,118.6,9.0,48,43000000.0
10.0,4.0,133.1,6.0,14,155000000.0
3.0,4.0,128.0,2.0,5,281600000.0
7.0,4.0,95.6,18.0,19,57990000.0
15.0,4.0,91.0,10.0,41,72000000.0
11.0,4.0,161.0,2.0,6,85000000.0
5.0,4.0,145.2,7.0,14,87000000.0
13.0,4.0,212.0,6.0,17,114890000.0
6.0,4.0,225.7,3.0,9,169275000.0
5.0,4.0,170.0,6.0,8,204000000.0
6.0,4.0,185.0,5.0,8,250000000.0
2.0,4.0,120.8,4.0,6,53000000.0
8.0,4.0,186.6,7.0,11,180000000.0
9.0,4.0,140.0,4.0,8,179000000.0
10.0,4.0,107.0,14.0,52,52000000.0
5.0,4.0,147.0,15.0,24,83000000.0
8.0,4.0,128.9,10.0,16,93000000.0
13.0,4.0,332.0,6.0,6,145000000.0
6.0,4.0,179.2,2.0,5,155000000.0
3.0,4.0,187.0,7.0,11,180000000.0
28.0,4.0,111.2,16.0,56,56000000.0
12.0,4.0,145.0,4.0,32,59900000.0
11.0,4.0,105.0,6.0,8,65000000.0
