const,Количество комнат,Площадь,Цена
1.0,3.0,189.0,115000000.0
1.0,3.0,135.0,129990000.0
1.0,3.0,100.0,139000000.0
1.0,3.0,114.0,160000000.0
1.0,3.0,135.0,165000000.0
1.0,3.0,160.0,194800000.0
1.0,3.0,67.6,27770000.0
1.0,3.0,60.1,30500000.0
1.0,3.0,65.0,33000000.0
1.0,3.0,94.1,33500000.0
1.0,3.0,130.2,47000000.0
1.0,3.0,109.0,59900000.0
1.0,3.0,113.1,64999999.0
1.0,3.0,106.4,99000000.0
1.0,3.0,146.0,115000000.0
1.0,3.0,100.0,139000000.0
1.0,3.0,125.3,155000000.0
1.0,3.0,85.0,33400000.0
1.0,3.0,61.0,35000000.0
1.0,3.0,108.0,50000000.0
1.0,3.0,212.4,84000000.0
1.0,3.0,94.1,153000000.0
1.0,4.0,244.1,86200000.0
1.0,4.0,115.0,73500000.0
1.0,4.0,155.0,146000000.0
1.0,4.0,153.0,146000000.0
1.0,4.0,94.5,37990000.0
1.0,4.0,200.0,145000000.0
1.0,4.0,143.0,159000000.0
1.0,4.0,233.2,350000000.0
1.0,4.0,137.0,169000000.0
1.0,4.0,187.0,180000000.0
1.0,4.0,108.6,125000000.0
1.0,4.0,137.6,169000000.0
1.0,4.0,249.0,350000000.0
1.0,4.0,108.6,59990000.0
1.0,4.0,135.6,71000000.0
1.0,4.0,405.0,289000000.0
1.0,4.0,115.6,61988000.0
1.0,4.0,108.2,43000000.0
1.0,4.0,127.5,52500000.0
1.0,4.0,92.8,69000000.0
1.0,4.0,201.0,95000000.0
1.0,4.0,109.0,125000000.0
1.0,4.0,170.0,170000000.0
1.0,4.0,113.0,42000000.0
1.0,4.0,316.0,270000000.0
1.0,4.0,89.0,59900000.0
1.0,4.0,95.0,68000000.0
1.0,4.0,216.0,350000000.0
1.0,4.0,167.8,190000000.0
1.0,4.0,97.9,40000000.0
1.0,4.0,84.8,67000000.0
1.0,4.0,135.7,80000000.0
1.0,4.0,138.3,83000000.0
1.0,4.0,112.8,110000000.0
1.0,4.0,225.0,120000000.0
1.0,4.0,135.3,125000000.0
1.0,4.0,170.0,155000000.0
1.0,4.0,240.0,221000000.0
1.0,4.0,270.0,249990000.0
1.0,4.0,108.0,43000000.0
1.0,4.0,203.4,130000000.0
1.0,4.0,179.2,155000000.0
1.0,4.0,140.0,156000000.0
1.0,4.0,186.8,180000000.0
1.0,4.0,169.0,92000000.0
1.0,4.0,136.5,120000000.0
1.0,4.0,179.2,155000000.0
1.0,4.0,187.0,180000000.0
1.0,4.0,180.0,340000000.0
1.0,4.0,135.6,120000000.0
1.0,4.0,121.0,130000000.0
1.0,4.0,129.4,99000000.0
1.0,4.0,106.1,40500000.0
1.0,4.0,145.0,79000000.0
1.0,4.0,297.0,50000000.0
1.0,4.0,145.8,79000000.0
1.0,4.0,186.4,80000000.0
1.0,4.0,133.5,132000000.0
1.0,4.0,171.0,185000000.0
1.0,4.0,134.5,61000000.0
1.0,4.0,174.0,149600000.0
1.0,4.0,118.6,43000000.0
1.0,4.0,133.1,155000000.0
1.0,4.0,128.0,281600000.0
1.0,4.0,95.6,57990000.0
1.0,4.0,91.0,72000000.0
1.0,4.0,161.0,85000000.0
1.0,4.0,145.2,87000000.0
1.0,4.0,212.0,114890000.0
1.0,4.0,225.7,169275000.0
1.0,4.0,170.0,204000000.0
1.0,4.0,185.0,250000000.0
1.0,4.0,120.8,53000000.0
1.0,4.0,186.6,180000000.0
1.0,4.0,140.0,179000000.0
1.0,4.0,107.0,52000000.0
1.0,4.0,147.0,83000000.0
1.0,4.0,128.9,93000000.0
1.0,4.0,332.0,145000000.0
1.0,4.0,179.2,155000000.0
