Тип квартиры,Станция метро,Минут до метро,Регион,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Ремонт,Цена
Новостройка,красногвардейская,5.0,Московская область,2.0,60.0,11.6,8.0,20.0,Косметический,6582000.0
Новостройка,красногвардейская,5.0,Московская область,1.0,46.7,10.5,5.0,20.0,Косметический,5298115.0
Новостройка,красногвардейская,5.0,Московская область,2.0,51.0,10.9,8.0,20.0,Косметический,6002700.0
Новостройка,красногвардейская,5.0,Московская область,3.0,82.9,13.5,13.0,20.0,Косметический,9529355.0
Новостройка,красногвардейская,5.0,Московская область,1.0,46.7,10.5,15.0,20.0,Косметический,6325515.0
Новостройка,красногвардейская,5.0,Московская область,2.0,59.8,11.6,15.0,20.0,Косметический,7412210.0
Новостройка,красногвардейская,5.0,Московская область,2.0,59.8,11.6,16.0,20.0,Косметический,7516860.0
Новостройка,красногвардейская,5.0,Московская область,2.0,60.0,11.6,5.0,20.0,Косметический,6537000.0
Новостройка,красногвардейская,5.0,Московская область,2.0,52.5,11.0,6.0,20.0,Косметический,5785500.0
Новостройка,красногвардейская,5.0,Московская область,3.0,83.4,13.5,11.0,20.0,Косметический,8631900.0
Новостройка,красногвардейская,5.0,Московская область,1.0,41.8,10.1,6.0,20.0,Косметический,4836260.0
Новостройка,красногвардейская,5.0,Московская область,3.0,83.4,13.5,14.0,20.0,Косметический,9082260.0
Новостройка,красногвардейская,5.0,Московская область,2.0,52.5,11.0,15.0,20.0,Косметический,6541500.0
Новостройка,красногвардейская,5.0,Московская область,1.0,41.8,10.1,2.0,20.0,Косметический,4706680.0
Новостройка,красногвардейская,5.0,Московская область,2.0,50.9,10.9,5.0,20.0,Косметический,5583730.0
Новостройка,красногвардейская,5.0,Московская область,1.0,41.8,10.1,8.0,20.0,Косметический,4861340.0
Новостройка,красногвардейская,5.0,Московская область,1.0,41.8,10.1,3.0,20.0,Косметический,4798640.0
Новостройка,красногвардейская,5.0,Московская область,2.0,60.6,11.7,4.0,20.0,Косметический,6078180.0
Новостройка,красногвардейская,5.0,Московская область,2.0,56.9,11.3,2.0,20.0,Косметический,6014330.0
Новостройка,красногвардейская,5.0,Московская область,2.0,60.5,11.6,3.0,20.0,Косметический,6370650.0
Новостройка,красногвардейская,5.0,Московская область,2.0,60.5,11.6,12.0,20.0,Косметический,6636850.0
Новостройка,красногвардейская,5.0,Московская область,2.0,60.6,11.7,7.0,20.0,Косметический,6405420.0
Новостройка,красногвардейская,5.0,Московская область,1.0,41.8,10.1,15.0,20.0,Косметический,5471620.0
Новостройка,красногвардейская,5.0,Московская область,1.0,42.5,10.2,5.0,20.0,Косметический,4904500.0
Новостройка,красногвардейская,5.0,Московская область,1.0,42.5,10.2,11.0,20.0,Косметический,5257250.0
Новостройка,битца,12.0,Московская область,1.0,32.4,9.3,8.0,9.0,Косметический,5660000.0
Новостройка,зябликово,9.0,Московская область,1.0,42.0,13.1,6.0,14.0,Косметический,9418109.0
Новостройка,зябликово,9.0,Московская область,2.0,62.1,11.9,2.0,14.0,Косметический,8805650.0
Новостройка,битца,12.0,Московская область,3.0,73.1,14.9,13.0,9.0,Косметический,7088516.0
Новостройка,битца,12.0,Московская область,1.0,34.1,11.5,15.0,9.0,Косметический,4027241.0
Новостройка,битца,12.0,Московская область,1.0,36.7,12.9,17.0,9.0,Косметический,4256948.0
Новостройка,битца,12.0,Московская область,1.0,36.7,12.9,20.0,9.0,Косметический,4239044.0
Новостройка,битца,12.0,Московская область,1.0,38.0,14.2,21.0,9.0,Косметический,4556753.0
Новостройка,битца,12.0,Московская область,1.0,36.7,12.9,15.0,9.0,Косметический,4288206.0
Новостройка,битца,12.0,Московская область,3.0,77.7,12.2,19.0,9.0,Косметический,7674025.0
Новостройка,битца,12.0,Московская область,1.0,34.1,11.7,9.0,9.0,Косметический,4713166.0
Новостройка,битца,12.0,Московская область,1.0,33.9,11.7,13.0,9.0,Косметический,4726818.0
Новостройка,битца,12.0,Московская область,1.0,33.9,11.7,14.0,9.0,Косметический,4126897.0
Новостройка,битца,12.0,Московская область,1.0,34.1,11.7,19.0,9.0,Косметический,4610423.0
Новостройка,битца,12.0,Московская область,2.0,49.2,9.3,4.0,9.0,Косметический,6053130.0
Новостройка,битца,12.0,Московская область,2.0,52.7,10.9,4.0,9.0,Косметический,6241490.0
Новостройка,битца,12.0,Московская область,2.0,56.5,13.4,12.0,9.0,Косметический,6490486.0
Новостройка,битца,12.0,Московская область,1.0,34.0,11.5,16.0,9.0,Косметический,4577738.0
Новостройка,битца,12.0,Московская область,1.0,37.6,13.6,16.0,9.0,Косметический,4826777.0
