,const,Количество комнат,Площадь,Цена
597,1.0,4.0,138.2,137000000.0
598,1.0,4.0,155.8,150000000.0
599,1.0,4.0,233.0,240000000.0
600,1.0,4.0,238.0,239000000.0
601,1.0,4.0,172.0,240000000.0
602,1.0,4.0,237.0,300000000.0
603,1.0,4.0,153.0,46500000.0
604,1.0,4.0,144.0,56000000.0
605,1.0,4.0,160.0,60000000.0
606,1.0,4.0,92.0,61990000.0
607,1.0,4.0,189.2,85000000.0
608,1.0,4.0,170.0,84800000.0
609,1.0,4.0,131.1,85900000.0
610,1.0,4.0,155.0,95000000.0
611,1.0,4.0,140.0,153000000.0
612,1.0,4.0,149.0,160000000.0
613,1.0,4.0,158.0,163000000.0
614,1.0,4.0,184.0,165000000.0
615,1.0,4.0,136.0,243250000.0
616,1.0,4.0,146.5,43400000.0
617,1.0,4.0,100.0,52500000.0
618,1.0,4.0,186.0,85000000.0
619,1.0,4.0,130.0,109900000.0
620,1.0,4.0,162.1,202625000.0
621,1.0,4.0,201.6,400000000.0
622,1.0,4.0,144.2,80000000.0
623,1.0,4.0,207.0,450000000.0
624,1.0,4.0,160.0,78500000.0
625,1.0,4.0,185.2,110000000.0
626,1.0,4.0,200.5,119000000.0
627,1.0,4.0,108.0,59500000.0
628,1.0,4.0,136.5,120000000.0
629,1.0,4.0,181.4,159500000.0
630,1.0,4.0,97.0,32700000.0
631,1.0,4.0,134.3,47000000.0
632,1.0,4.0,98.0,51988700.0
633,1.0,4.0,107.7,52000000.0
634,1.0,4.0,147.4,70000000.0
635,1.0,4.0,157.0,74000000.0
636,1.0,4.0,137.6,79900000.0
637,1.0,4.0,141.3,98500000.0
638,1.0,4.0,226.2,109990000.0
639,1.0,4.0,200.0,119000000.0
640,1.0,4.0,137.0,164844000.0
641,1.0,4.0,225.0,209250000.0
642,1.0,4.0,178.0,235000000.0
643,1.0,4.0,426.0,532500000.0
644,1.0,4.0,87.1,19800000.0
645,1.0,4.0,102.0,42200000.0
646,1.0,4.0,95.6,48500000.0
647,1.0,4.0,95.8,48999000.0
648,1.0,4.0,108.0,47000000.0
649,1.0,4.0,132.3,80900000.0
650,1.0,4.0,168.0,119000000.0
651,1.0,4.0,143.0,150000000.0
652,1.0,4.0,170.0,204000000.0
653,1.0,4.0,89.8,18800000.0
654,1.0,4.0,102.4,47900000.0
655,1.0,4.0,131.1,85900000.0
656,1.0,4.0,215.0,91200000.0
657,1.0,4.0,158.0,102990000.0
658,1.0,4.0,167.8,120000000.0
659,1.0,4.0,192.0,130000000.0
660,1.0,4.0,182.0,165000000.0
661,1.0,4.0,137.0,164844000.0
662,1.0,4.0,136.6,169000000.0
663,1.0,4.0,131.0,242000000.0
664,1.0,4.0,132.0,243000000.0
665,1.0,4.0,101.0,44999000.0
666,1.0,4.0,143.0,62999000.0
667,1.0,4.0,145.5,75000000.0
668,1.0,4.0,84.97,79000000.0
669,1.0,4.0,111.0,83000000.0
670,1.0,5.0,162.7,225000000.0
671,1.0,5.0,238.0,261800000.0
672,1.0,5.0,235.6,342000000.0
673,1.0,5.0,270.0,249990000.0
674,1.0,5.0,370.0,275000000.0
675,1.0,5.0,227.5,341000000.0
676,1.0,5.0,122.4,49000000.0
677,1.0,5.0,164.4,69500000.0
678,1.0,5.0,305.0,350000000.0
679,1.0,5.0,303.0,380000000.0
680,1.0,5.0,162.0,145000000.0
681,1.0,5.0,200.0,249000000.0
682,1.0,5.0,285.0,330000000.0
683,1.0,5.0,284.0,340000000.0
684,1.0,5.0,134.7,60000000.0
685,1.0,5.0,210.2,270000000.0
686,1.0,5.0,209.0,271700000.0
687,1.0,5.0,172.0,135000000.0
688,1.0,5.0,300.0,214990000.0
689,1.0,5.0,208.9,271700000.0
690,1.0,5.0,214.9,93000000.0
691,1.0,5.0,218.3,160000000.0
692,1.0,5.0,219.0,160000000.0
693,1.0,5.0,131.0,87000000.0
694,1.0,5.0,250.0,250000000.0
695,1.0,5.0,125.0,116000000.0
