Станция метро,Минут до метро,Количество комнат,Площадь,Кухня площадь,Этаж,Количество этажей,Тип квартиры_Вторичное,Тип квартиры_Новостройка,Регион_Москва,Регион_Московская область,Ремонт_Без ремонта,Ремонт_Дизайнерский,Ремонт_Евроремонт,Ремонт_Косметический,Цена
180,5.0,2.0,42.0,6.0,5.0,5.0,1,0,0,1,0,0,0,1,8800000.0
173,7.0,2.0,52.0,9.0,8.0,25.0,1,0,0,1,0,0,0,1,9650000.0
99,9.0,2.0,66.0,11.2,10.0,25.0,1,0,0,1,0,0,1,0,9800000.0
180,12.0,2.0,50.0,10.5,6.0,21.0,1,0,0,1,0,0,1,0,10000000.0
180,18.0,2.0,47.0,10.5,16.0,18.0,1,0,0,1,0,1,0,0,10300000.0
99,6.0,2.0,47.2,9.0,11.0,12.0,1,0,0,1,0,0,0,1,10500000.0
173,6.0,2.0,52.0,12.0,10.0,26.0,1,0,0,1,0,1,0,0,10700000.0
99,7.0,2.0,51.0,10.0,3.0,17.0,1,0,0,1,0,0,1,0,12300000.0
185,10.0,2.0,72.0,12.0,11.0,17.0,1,0,0,1,0,0,1,0,13900000.0
180,3.0,2.0,61.0,10.0,23.0,25.0,1,0,0,1,0,1,0,0,13990000.0
173,6.0,2.0,63.6,13.0,2.0,8.0,1,0,0,1,0,1,0,0,16300000.0
145,26.0,2.0,91.6,14.3,15.0,25.0,1,0,0,1,0,0,1,0,17500000.0
185,13.0,2.0,75.0,20.0,20.0,25.0,1,0,0,1,0,1,0,0,19900000.0
145,27.0,2.0,101.2,15.2,20.0,21.0,1,0,0,1,1,0,0,0,22300000.0
180,4.0,2.0,40.0,9.9,1.0,3.0,1,0,0,1,1,0,0,0,5500000.0
99,14.0,2.0,34.49,5.0,12.0,24.0,1,0,0,1,1,0,0,0,7200000.0
173,7.0,2.0,54.0,8.0,9.0,9.0,1,0,0,1,0,0,0,1,8800000.0
173,4.0,2.0,48.6,10.7,7.0,8.0,1,0,0,1,0,0,1,0,10599999.0
173,5.0,2.0,50.0,10.8,6.0,8.0,1,0,0,1,0,0,1,0,11000000.0
145,15.0,2.0,43.0,5.0,3.0,19.0,1,0,0,1,0,0,0,1,11000000.0
173,14.0,2.0,50.0,10.8,2.0,4.0,1,0,0,1,0,1,0,0,11000000.0
185,15.0,2.0,38.8,9.0,18.0,16.0,1,0,0,1,0,0,1,0,11000000.0
180,13.0,2.0,55.0,10.0,8.0,25.0,1,0,0,1,0,0,1,0,11250000.0
145,15.0,2.0,50.0,9.8,18.0,23.0,1,0,0,1,0,1,0,0,11600000.0
99,9.0,2.0,43.57,18.5,8.0,16.0,1,0,0,1,0,1,0,0,12000000.0
185,16.0,2.0,40.0,9.9,9.0,16.0,1,0,0,1,0,1,0,0,12800000.0
185,14.0,2.0,72.8,12.5,9.0,16.0,1,0,0,1,0,0,1,0,13900000.0
180,19.0,2.0,43.6,15.2,14.0,16.0,1,0,0,1,0,0,1,0,13900000.0
180,3.0,2.0,57.0,10.3,18.0,25.0,1,0,0,1,0,1,0,0,14000000.0
